Word,General Offensiveness (1 through 4),Sexual,Racist,Sexist,Drug-related
fecal,,,,,
feces,,,,,
feck,,,,,
fecker,,,,,
felch,,,,,
felcher,,,,,
felching,,,,,
fellate,,,,,
fellatio,,,,,
feltch,,,,,
feltcher,,,,,
feltching,,,,,
female squirting,,,,,
femdom,,,,,
fetish,,2,,,
figging,,,,,
filipina,,,,2,
fingerbang,,,,,
fingerfood,,,,,
fingerfuck,,,,,
fingerfucked,,,,,
fingerfucker,,,,,
fingerfuckers,,,,,
fingerfucking,,,,,
fingerfucks,,,,,
fingering,,,,,
fister,,,,,
fistfuck,,,,,
fistfucked,,,,,
fistfucker,,,,,
fistfuckers,,,,,
fistfucking,,,,,
fistfuckings,,,,,
fistfucks,,,,,
fisting,,,,,
flasher,,,,,
flatulence,,,,,
flydie,,,,,
flydye,,,,,
fok,,,,,
fondle,,,,,
fook,,,,,
fooker,,,,,
foot fetish,,,,,
footaction,,,,,
footfuck,,,,,
footfucker,,,,,
footjob,,,,,
footlicker,,,,,
footstar,,,,,
fore,,,,,
foreskin,,,,,
forni,,,,,
fornicate,,,,,
foursome,,,,,
fourtwenty,,,,,
fraud,,,,,
freakfuck,,,,,
freakyfucker,,,,,
freefuck,,,,,
frotting,,,,,
fu,,,,,
fubar,,,,,
fuc,,,,,
fucck,,,,,
fuck buttons,,,,,
fucka,,,,,
fuckable,,,,,
fuckbag,,,,,
fuckbuddy,,,,,
fucked,,,,,
fuckedup,,,,,
fuckers,,,,,
fuckface,,,,,
fuckfest,,,,,
fuckfreak,,,,,
fuckfriend,,,,,
fuckhead,,,,,
fuckheads,,,,,
fuckher,,,,,
fuckin,,,,,
fuckina,,,,,
fucking,,,,,
fuckingbitch,,,,,
fuckings,,,,,
fuckingshitmotherfucker,,,,,
fuckinnuts,,,,,
fuckinright,,,,,
fuckit,,,,,
fuckknob,,,,,
fuckme,,,,,
fuckmehard,,,,,
fuckmonkey,,,,,
fuckoff,,,,,
fuckpig,,,,,
fucks,,,,,
fucktard,,,,,
fucktards,,,,,
fuckwhit,,,,,
fuckwhore,,,,,
fuckwit,,,,,
fuckyou,,,,,
fudge packer,,,,,
fugly,,,,,
fuk,,,,,
fuker,,,,,
fukker,,,,,
fukkin,,,,,
fuks,,,,,
fukwhit,,,,,
fukwit,,,,,
funeral,,,,,
funfuck,,,,,
fungus,,,,,
futanari,,,,,
fuuck,,,,,
fux,,,,,
fux0r,,,,,
gang bang,,,,,
gangbanged,,,,,
gangbanger,,,,,
gangbangs,,,,,
gangsta,,,,,
gatorbait,,,,,
gay,,,,,
gay sex,,,,,
gaylord,,,,,
gaymuthafuckinwhore,,,,,
geez,,,,,
geezer,,,,,
geni,,,,,
genital,1,1,,,
genitals,1,1,,,
getiton,,,,,
giant cock,,,,,
gin,,,,,
ginzo,,,,,
gipp,,,,,
girl on,,,,,
girl on top,,,,,
girls,,,,,
girls gone wild,,,,,
givehead,,,,,
glazeddonut,,,,,
goatcx,,,,,
goatse,,,,,
gob,,,,,
gokkun,,,,,
golden shower,,,,,
gonorrehea,,,,,
gonzagas,,,,,
goo girl,,,,,
goodpoop,,,,,
gook,,,,,
goregasm,,,,,
gotohell,,,,,
goy,,,,,
goyim,,,,,
greaseball,,,,,
gringo,,,,,
groe,,,,,
grope,,,,,
gross,,,,,
grostulation,,,,,
group sex,,,,,
g-spot,,,,,
gubba,,,,,
gummer,,,,,
gun,,,,,
guro,,,,,
gyp,,,,,
gypo,,,,,
gypp,,,,,
gyppie,,,,,
gyppo,,,,,
gyppy,,,,,
hamas,,,,,
hand job,,,,,
hapa,,,,,
hard core,,,,,
hardcoresex,,,,,
harder,,,,,
hardon,,,,,
harem,,,,,
headfuck,,,,,
headlights,,,,,
hebe,,,,,
heeb,,,,,
hell,,,,,
henhouse,,,,,
hentai,,,,,
heroin,,,,,
herpes,,,,,
heshe,,,,,
heterosexual,,,,,
hijack,,,,,
hijacker,,,,,
hijacking,,,,,
hillbillies,,,,,
hindoo,,,,,
hiscock,,,,,
hitler,,,,,
hitlerism,,,,,
hitlerist,,,,,
hiv,,,,,
ho,,,,,
hoar,,,,,
hoare,,,,,
hobo,,,,,
hodgie,,,,,
hoer,,,,,
hoes,,,,,
hole,,,,,
holestuffer,,,,,
homicide,,,,,
homo,,,,,
homobangers,,,,,
homoerotic,,,,,
homosexual,,,,,
honger,,,,,
honkers,,,,,
honkey,,,,,
honky,,,,,
hooker,,,,,
hookers,,,,,
hooters,,,,,
hore,,,,,
hork,,,,,
horney,,,,,
horniest,,,,,
horny,,,,,
horseshit,,,,,
hosejob,,,,,
hoser,,,1,,
hostage,,,,,
hot carl,,,,,
hot chick,,,,,
hotdamn,,,,,
hotpussy,,,,,
hotsex,,,,,
hottotrot,,,,,
how to kill,,,,,
how to murder,,,,,
huge fat,,,,,
hummer,,,,,
humping,,,,,
husky,,,,,
hussy,,,,,
hustler,,,,,
hymen,,,,,
hymie,,,,,
iblowu,,,,,
idiot,1,,,,
ikey,,,,,
illegal,,,,,
incest,,,,,
insest,,,,,
intercourse,,,,,
interracial,,,,,
intheass,,,,,
inthebuff,,,,,
israel,,,,,
israeli,,,,,
israel's,,,,,
italiano,,,,,
itch,,,,,
jack off,,,,,
jackass,1,,,,
jack-off,,2,,,
jackshit,,,,,
jacktheripper,,,,,
jail bait,,4,,,
jap,,,,,
japanese,,,,,
japcrap,,,,,
jebus,,,,,
jeez,,,,,
jelly donut,,,,,
jerk off,,,,,
jerk-off,,,,,
jesus,,,,,
jesuschrist,,,,,
jew,,,,,
jewish,,,,,
jiga,,,,,
jigaboo,,,,,
jigg,,,,,
jigga,,,,,
jiggabo,,,,,
jiggaboo,,,,,
jiggerboo,,,,,
jiggy,,,,,
jihad,,,,,
jijjiboo,,,,,
jimfish,,,,,
jism,,,,,
jiz,,,3,,
